736591685510139904	2016-05-28 16:15:17	May showers bring wildflowers. Front page @seattletimes yesterday about Teanaway, where we preserved 50,000 acres! https://t.co/9D0VaKWrBq	1	0		0	0	0	
736334955442229248	2016-05-27 23:15:08	The signs of spring in the #pacificnorthwest. Consider the changes of past months as we say goodbye to spring https://t.co/Grx0YaWNbC	1	0	pacificnorthwest,	1	0	0	
736328664632205312	2016-05-27 22:50:08	Weigh in: when does summer *actually* begin in the #PacificNorthwest? Memorial Day weekend, on the summer solstice, or the 4th of July?	2	0	PacificNorthwest,	1	0	0
736314828382478336	2016-05-27 21:55:09	DYK? We're teaming up with @SeattleOpera to secure a new bldg that will include educational space for kids! https://t.co/c8AtGFpYnW	1	0		0	0	0
736268275181555712	2016-05-27 18:50:10	ICYMI @Crosscut covers our partnership with @elcentro72 to create affordable housing! https://t.co/kkMkLHavYt #environmentaljustice	2	0	environmentaljustice,	1	0	0
736254533769121792	2016-05-27 17:55:34	RT @WSUVoiland: See #CLT in action @WSUPullman at @BrelsfordWSUVC and PACCAR #cleantech building#newline##WSU #GoCougs  https://t.co/jLwggoKxSs	0	3	CLT,cleantech,WSU,GoCougs,	4	0	0
736253001698967552	2016-05-27 17:49:29	What a great read from @WABizAlliance on Cross-laminated timber! #CLT  https://t.co/TGkXIdKNlj	0	2	CLT,	1	1327	2
735540578021052416	2016-05-25 18:38:34	The power's out in downtown Seattle. Must be time to go renewable with our energy! #downtownseattle #poweroutage	12	3	downtownseattle,poweroutage,	2	4140	3
735480078839091201	2016-05-25 14:38:10	RT @uwbotanicgarden: Meet our "plant nerd" Director and learn about our conservation efforts @ForterraNW https://t.co/jizgLQRY4t	0	2		0	0	0
735197486575280128	2016-05-24 19:55:14	RT @YIMBYsea: If you are focusing on climate justice and you ignore the housing crisis then you're doing it wrong! Thanks Forter… https://t…	0	3		0	0	0
735197356015030272	2016-05-24 19:54:43	RT @Crosscut: In new partnership, @ForterraNW will purchase and hold land for affordable housing. https://t.co/wne1bE629G https://t.co/UBZ7…	0	8		0	0	0
735197332120076288	2016-05-24 19:54:37	RT @SeattleOSE: @ForterraNW making connections between conservation and social justice! Article by @Crosscut  https://t.co/HekB5gXWNQ	0	1		0	0	0
734476820461068289	2016-05-22 20:11:34	RT @theresatierney: For the People. For the Land. Forever. #ReturnToTheForest #Kitsap https://t.co/6mGfa1tNw1 https://t.co/KEh0CpczbB	0	3	ReturnToTheForest,Kitsap,	2	0	0
733467861398622209	2016-05-20 01:22:19	RT @RyanDicks: Thanks to @PierceCo and @ForterraNW these berries are here to stay. #conservation #Sidhufarms https://t.co/LYL1Qp8W6x	0	2	conservation,Sidhufarms,	2	0	0
733433385029357572	2016-05-19 23:05:20	Today @Reubensbrews, for every pint purchased Reuben’s will donate $1 to @greenseattle &amp; Seattle’s urban forests! https://t.co/srxLPkv9mP	7	5		0	16118	5
733113743454920705	2016-05-19 01:55:11	"How could nature be ignored? How could it not be part of the menu of your mind?" -Alfredo Arreguín https://t.co/V1pdWOenFF	4	4		0	1754	4
732947695812366336	2016-05-18 14:55:22	This is a pika. And it is adorable. For more adorable pika pictures, read Ampersand Issue 4, link in bio. https://t.co/oFi56lBnPU	3	0		0	0	0
732690948753346560	2016-05-17 21:55:09	I knew I had a lot to learn about life in the wake of fire: https://t.co/if5JteO2Xd #newline#Illustration by @DrewMChristie https://t.co/1hfydkLDXY	0	0		0	0	0
732677372944621569	2016-05-17 21:01:12	These kids are better writers than you are. (Probably.) https://t.co/lmsAlDqsfG https://t.co/xnqnMvqn2m	0	0		0	0	0
732645810819588097	2016-05-17 18:55:47	Thanks @SeaArtsLectures!  https://t.co/aiF1EXErTL	1	0		0	0	0
732341061360590848	2016-05-16 22:44:49	RT @florangela: "My mind is the color of a red fern.." Read a collection of 15 #poems by young @SeaArtsLectures poets. @ForterraNW https://…	0	4	poems,	1	0	0
732275736334106624	2016-05-16 18:25:15	.@Drewmchristie created the remarkable cover for Ampersand Issue 4, out now: https://t.co/RncIftttB9	1	1		0	1693	1
730891647261810692	2016-05-12 22:45:22	Hear Dr. Peter Raven, the Pope's environmental advisor speak this weekend.  https://t.co/gJiU5pLcB3 https://t.co/U0WBisKtVt	0	0		0	0	0
730530244721922048	2016-05-11 22:49:17	We love CLT! Great piece from @NPR about Cross-Laminated Timber reviving the NW timber industry: https://t.co/QjGYL8ipws	3	3		0	2463	3
